mouse_move_count,mouse_click_count,mouse_path_length_px,mouse_avg_speed_px_s,mouse_std_speed_px_s,mouse_idle_time_ms,mouse_path_straightness,keydown_count,typing_rate_kps,special_key_count,backspace_count,backspace_error_ratio,inter_key_latency_mean_ms,key_dwell_time_mean_ms,key_dwell_time_std_ms,long_pause_count,window_switch_count,unique_app_count,app_chrome,app_explorer,app_code,app_devenv,app_msedge,app_teams,app_opera,app_other,daylight_morning,daylight_afternoon,daylight_evening,activity_ratio,mouse_speed_cv,typing_burst_count,idle_to_active_ratio,click_per_move_ratio,typing_rate_kps_delta,inter_key_latency_mean_ms_delta,key_dwell_time_mean_ms_delta,mouse_avg_speed_px_s_delta,mouse_idle_time_ms_delta,activity_ratio_delta,typing_rate_kps_rmean3,typing_rate_kps_rstd3,inter_key_latency_mean_ms_rmean3,inter_key_latency_mean_ms_rstd3,key_dwell_time_mean_ms_rmean3,key_dwell_time_mean_ms_rstd3,mouse_avg_speed_px_s_rmean3,mouse_avg_speed_px_s_rstd3,mouse_idle_time_ms_rmean3,mouse_idle_time_ms_rstd3,activity_ratio_rmean3,activity_ratio_rstd3,user_id,stress_val_mapped,fatigue_val_mapped
52,1,2892.0795165617074,519.2692895447167,790.8830990884902,58659.0,0.45229100216780516,3,0.016666666666666666,2,0,0.0,1282.5,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.523069272557825,1,1106.7735849056603,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,1282.5,0.0,100.0,0.0,519.2692895447167,0.0,58659.0,0.0,1.0,0.0,emir,Not_Stressed,Fatigued
52,1,2892.0795165617074,519.2692895447167,790.8830990884902,58659.0,0.45229100216780516,3,0.016666666666666666,2,0,0.0,1282.5,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.523069272557825,1,1106.7735849056603,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,1282.5,0.0,100.0,0.0,519.2692895447167,0.0,58659.0,0.0,1.0,0.0,emir,Not_Stressed,Fatigued
81,2,11873.937983519188,1961.5432497930037,4470.620751711531,10009.0,0.03326613298370371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.2791344275397973,0,122.0609756097561,0.024691358024691357,-0.016666666666666666,-1282.5,-100.0,1442.273960248287,-48650.0,0,0.008333333333333333,0.008333333333333333,641.25,641.25,50.0,50.0,1240.4062696688602,721.1369801241435,34334.0,24325.0,1.0,0.0,emir,Not_Stressed,Fatigued
81,2,11873.937983519188,1961.5432497930037,4470.620751711531,10009.0,0.03326613298370371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.2791344275397973,0,122.0609756097561,0.024691358024691357,-0.016666666666666666,-1282.5,-100.0,1442.273960248287,-48650.0,0,0.008333333333333333,0.008333333333333333,641.25,641.25,50.0,50.0,1240.4062696688602,721.1369801241435,34334.0,24325.0,1.0,0.0,emir,Not_Stressed,Fatigued
5,0,265.84260903320694,783.6992113857054,1093.4878591427291,0.0,0.5958346289536419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.3952902379591117,0,0.0,0.0,0.0,0.0,0.0,-1569.988759304264,-34946.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1699.6434772895598,667.1630456459911,14985.0,14694.12946270267,1.0,0.0,emir,Not_Stressed,Fatigued
5,0,265.84260903320694,783.6992113857054,1093.4878591427291,0.0,0.5958346289536419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.3952902379591117,0,0.0,0.0,0.0,0.0,0.0,-1569.988759304264,-34946.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1699.6434772895598,667.1630456459911,14985.0,14694.12946270267,1.0,0.0,emir,Not_Stressed,Fatigued
5,0,265.84260903320694,783.6992113857054,1093.4878591427291,0.0,0.5958346289536419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.3952902379591117,0,0.0,0.0,0.0,0.0,0.0,-1569.988759304264,-34946.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1699.6434772895598,667.1630456459911,14985.0,14694.12946270267,1.0,0.0,emir,Not_Stressed,Fatigued
88,0,12517.590038615132,3701.7627497525164,9727.73189660568,49887.0,0.011120454709574635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.6278647644979496,0,560.5280898876405,0.0,0.0,0.0,0.0,-10682.736846117663,48541.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6289.987185669466,5846.3448451521945,17077.666666666668,23206.208857880156,1.0,0.0,emir,Not_Stressed,Fatigued
88,0,12517.590038615132,3701.7627497525164,9727.73189660568,49887.0,0.011120454709574635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.6278647644979496,0,560.5280898876405,0.0,0.0,0.0,0.0,-10682.736846117663,48541.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6289.987185669466,5846.3448451521945,17077.666666666668,23206.208857880156,1.0,0.0,emir,Not_Stressed,Fatigued
88,0,12517.590038615132,3701.7627497525164,9727.73189660568,49887.0,0.011120454709574635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.6278647644979496,0,560.5280898876405,0.0,0.0,0.0,0.0,-10682.736846117663,48541.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6289.987185669466,5846.3448451521945,17077.666666666668,23206.208857880156,1.0,0.0,emir,Not_Stressed,Fatigued
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,emir,Not_Stressed,Fatigued
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,emir,Not_Stressed,Fatigued
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,emir,Not_Stressed,Fatigued
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,emir,Not_Stressed,Fatigued
4029,46,135398.66424574412,1539.0834238860778,14057.542968725556,133998.0,0.002496506665655908,2644,14.688888888888888,2,0,0.0,77.61748013620885,100,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9.133710850599147,1,33.25012406947891,0.011417225117895259,0.0,0.0,0.0,0.0,0.0,0.0,14.688888888888888,0.0,77.61748013620885,0.0,100.0,0.0,1539.0834238860778,0.0,133998.0,0.0,1.0,0.0,emir,Not_Stressed,Fatigued
461,4,30533.63596086944,4186.079014944788,37317.541193126344,1112265.0,0.024411605428333056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8.91467673206798,0,2407.5,0.008676789587852495,-14.688888888888888,-77.61748013620885,-100.0,2646.9955910587096,978267.0,0,7.344444444444444,7.344444444444444,38.80874006810443,38.80874006810443,50.0,50.0,2862.5812194154328,1323.4977955293548,623131.5,489133.5,1.0,0.0,emir,Not_Stressed,Fatigued
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,emir,Not_Stressed,Fatigued
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,emir,Not_Stressed,Fatigued
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,emir,Not_Stressed,Fatigued
