mouse_move_count,mouse_click_count,mouse_path_length_px,mouse_avg_speed_px_s,mouse_std_speed_px_s,mouse_idle_time_ms,mouse_path_straightness,keydown_count,typing_rate_kps,special_key_count,backspace_count,backspace_error_ratio,inter_key_latency_mean_ms,key_dwell_time_mean_ms,key_dwell_time_std_ms,long_pause_count,window_switch_count,unique_app_count,app_chrome,app_explorer,app_code,app_devenv,app_msedge,app_teams,app_opera,app_other,daylight_morning,daylight_afternoon,daylight_evening,activity_ratio,mouse_speed_cv,typing_burst_count,idle_to_active_ratio,click_per_move_ratio,typing_rate_kps_delta,inter_key_latency_mean_ms_delta,key_dwell_time_mean_ms_delta,mouse_avg_speed_px_s_delta,mouse_idle_time_ms_delta,activity_ratio_delta,typing_rate_kps_rmean3,typing_rate_kps_rstd3,inter_key_latency_mean_ms_rmean3,inter_key_latency_mean_ms_rstd3,key_dwell_time_mean_ms_rmean3,key_dwell_time_mean_ms_rstd3,mouse_avg_speed_px_s_rmean3,mouse_avg_speed_px_s_rstd3,mouse_idle_time_ms_rmean3,mouse_idle_time_ms_rstd3,activity_ratio_rmean3,activity_ratio_rstd3,user_id,stress_val_mapped,fatigue_val_mapped
2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,veysel_bal,Stressed,Fatigued
2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,veysel_bal,Stressed,Fatigued
2616,32,45010.55777285605,1301.1521555146126,1730.901211982627,5238.0,0.0040782587813217525,5,0.027777777777777776,0,0,0.0,312.25,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.3302834757999893,1,2.0015284677111196,0.012232415902140673,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,312.25,0.0,100.0,0.0,1301.1521555146126,0.0,5238.0,0.0,1.0,0.0,veysel_bal,Stressed,Fatigued
1697,14,25969.7729728918,1329.7130560098428,1545.6508305145858,14072.0,0.03238181077474899,81,0.45,8,0,0.0,661.175,100,0,8,6,2,0,0,0,0,0,0,0,1,0,1,0,1,1.1623942650850716,1,8.287396937573616,0.008249852681202121,0.4222222222222222,348.92499999999995,0,28.56090049523027,8834.0,0,0.2388888888888889,0.2111111111111111,486.7125,174.46249999999998,100.0,0.0,1315.4326057622277,14.280450247615136,9655.0,4417.0,1.0,0.0,veysel_bal,Stressed,Fatigued
1997,11,13638.597403377717,1842.630227149727,2474.4084276067074,64444.99999999999,0.018828738620500256,41,0.22777777777777777,37,0,0.0,177.225,100,0,1,7,2,0,0,0,0,0,0,0,1,0,1,0,1,1.3428675982561333,1,32.25475475475475,0.005508262393590386,-0.22222222222222224,-483.94999999999993,0,512.9171711398842,50372.99999999999,0,0.2351851851851852,0.17245106261959728,383.54999999999995,203.903029444554,100.0,0.0,1491.1651462247276,248.79671566895328,27918.333333333332,26078.82822435769,1.0,0.0,veysel_bal,Stressed,Fatigued
1196,1,4339.0350527733935,2429.7564289184115,3376.785870215384,2629.0,0.12085210976769452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1.3897631178276317,0,2.1963241436925647,0.0008361204013377926,-0.005555555555555556,0.0,-100.0,-178.6231784330903,-19991.0,0,0.001851851851851852,0.0026189140043946205,0.0,0.0,33.333333333333336,47.14045207910317,2175.64360807592,491.1194941095134,22390.666666666668,16042.527945710077,1.0,0.0,veysel_bal,Stressed,Fatigued
